Year,Month,DayOfWeek,FlightDate,Reporting_Airline,Origin,Dest,CRSDepTime,DepDelay,CRSArrTime,ArrDelay,Cancelled,Diverted,Distance,WeatherDelay,hour_of_day,traffic_index,weather_severity,historical_demand,driver_availability,is_delayed,delay_minutes
2026,3,6,2026-03-14,AA,LAS,DFW,1441,3.0,1939,-36.0,0.0,0.0,1055.0,,14,19.837879592385477,0.0038954650849508,577,0.7349144302466906,0,0.0
2026,3,2,2026-03-17,NK,MCO,LGA,1826,97.0,2059,86.0,0.0,0.0,950.0,0.0,18,32.3782263677988,0.0160892773476934,705,0.5522193211488251,1,86.0
2026,3,3,2026-03-11,AA,CLT,ALB,2020,-6.0,2220,-5.0,0.0,0.0,646.0,,20,24.089767116131743,0.0273846732583754,907,0.7349144302466906,0,0.0
2026,3,3,2026-03-04,AA,CLT,PHX,1625,-3.0,1910,-27.0,0.0,0.0,1773.0,,16,20.020948471129365,0.0273846732583754,754,0.7349144302466906,0,0.0
2026,3,3,2026-03-04,MQ,ORD,AUS,2048,25.0,2353,91.0,0.0,0.0,977.0,0.0,20,29.9199515207168,0.0464670596882464,1339,0.7843735212156264,1,91.0
2026,3,7,2026-03-22,OO,BOI,SFO,1049,-5.0,1155,-21.0,0.0,0.0,522.0,,10,5.02416629063255,0.0074956672406894,113,0.7610112772501305,0,0.0
2026,3,1,2026-03-02,DL,DAB,ATL,1513,0.0,1642,-7.0,0.0,0.0,366.0,,15,15.74047055513764,0.0144006229963931,10,0.7800524074680641,0,0.0
2026,3,2,2026-03-03,NK,DFW,MCO,1106,-11.0,1448,-24.0,0.0,0.0,985.0,,11,16.816718809510032,0.0220364612284605,890,0.5522193211488251,0,0.0
2026,3,5,2026-03-13,MQ,EYW,MIA,1556,-4.0,1650,-9.0,0.0,0.0,126.0,,15,13.570077672719416,0.0144596664631009,33,0.7843735212156264,0,0.0
2026,3,4,2026-03-19,WN,BNA,DAL,2000,14.0,2210,-15.0,0.0,0.0,623.0,,20,26.961694602730905,0.0084564349232009,366,0.7304990173266768,0,0.0
2026,3,7,2026-03-01,UA,EWR,ORD,745,-5.0,936,4.0,0.0,0.0,719.0,,7,4.309173393225701,0.007287665830444,592,0.7732574014120217,0,4.0
2026,3,7,2026-03-22,WN,HOU,OMA,805,43.0,1020,28.0,0.0,0.0,804.0,0.0,8,7.29046307620779,0.0067029536559145,356,0.7304990173266768,1,28.0
2026,3,5,2026-03-13,AA,LAX,PHX,1259,17.0,1434,10.0,0.0,0.0,370.0,,12,13.456147112342991,0.0049962271589589,511,0.7349144302466906,0,10.0
2026,3,7,2026-03-08,WN,FLL,MCI,2155,-5.0,20,-7.0,0.0,0.0,1242.0,,21,59.02610231346779,0.0258627483916769,333,0.7304990173266768,0,0.0
2026,3,3,2026-03-04,DL,CHS,ATL,527,-9.0,650,-25.0,0.0,0.0,259.0,,5,10.11681371514718,0.0086126175178587,76,0.7800524074680641,0,0.0
2026,3,1,2026-03-09,YX,BOS,IND,825,-9.0,1115,-16.0,0.0,0.0,818.0,,8,5.651026455415964,0.0087717981779701,627,0.7248204667863555,0,0.0
2026,3,1,2026-03-02,WN,MCO,SAT,1925,52.0,2135,16.0,0.0,0.0,1041.0,0.0,19,31.144298945698694,0.0160892773476934,723,0.7304990173266768,1,16.0
2026,3,4,2026-03-19,DL,EWR,SLC,700,-5.0,1012,-17.0,0.0,0.0,1969.0,,7,4.309173393225701,0.007287665830444,592,0.7800524074680641,0,0.0
2026,3,1,2026-03-16,WN,TUS,DEN,650,-2.0,940,-1.0,0.0,0.0,639.0,,6,8.372237714712005,0.0101063738796076,174,0.7304990173266768,0,0.0
2026,3,3,2026-03-11,OO,DEN,SLC,1729,-4.0,1915,-17.0,0.0,0.0,391.0,,17,20.40461111430042,0.0113774695473761,1718,0.7610112772501305,0,0.0
2026,3,4,2026-03-19,OO,ATL,XNA,1731,85.0,1829,75.0,0.0,0.0,589.0,0.0,17,19.446884126048875,0.0187797472514038,842,0.7610112772501305,1,75.0
2026,3,7,2026-03-15,F9,SJU,TPA,530,-3.0,900,-23.0,0.0,0.0,1237.0,,5,6.40636989483842,0.0025527151912895,202,0.6862799583188607,0,0.0
2026,3,5,2026-03-20,WN,PHX,AUS,500,0.0,905,-1.0,0.0,0.0,872.0,,5,1.8092875137099973,0.0026545066137174,283,0.7304990173266768,0,0.0
2026,3,6,2026-03-14,F9,ATL,TPA,829,37.0,1008,36.0,0.0,0.0,406.0,0.0,8,9.683714750949378,0.0187797472514038,1459,0.6862799583188607,1,36.0
2026,3,3,2026-03-18,OO,SAF,PHX,1535,111.0,1609,104.0,0.0,0.0,370.0,0.0,15,21.719613681404912,0.0178626907530541,47,0.7610112772501305,1,104.0
2026,3,7,2026-03-08,WN,LAS,SAN,905,2.0,1020,1.0,0.0,0.0,258.0,,9,7.505870630951594,0.0038954650849508,783,0.7304990173266768,0,1.0
2026,3,2,2026-03-17,AA,ATL,MIA,634,58.0,835,56.0,0.0,0.0,594.0,0.0,6,11.93322293414733,0.0187797472514038,456,0.7349144302466906,1,56.0
2026,3,7,2026-03-01,UA,SFO,SLC,910,-2.0,1208,-13.0,0.0,0.0,599.0,,9,6.56552770529584,0.002407597533299,670,0.7732574014120217,0,0.0
2026,3,6,2026-03-07,OO,SUN,ORD,1327,8.0,1800,-5.0,0.0,0.0,1341.0,,13,24.440845572720768,0.0158428632670189,44,0.7610112772501305,0,0.0
2026,3,3,2026-03-04,OO,SHV,DFW,1303,-4.0,1425,-23.0,0.0,0.0,190.0,,13,15.957478967955456,0.0376862839976361,22,0.7610112772501305,0,0.0
2026,3,3,2026-03-18,UA,IAD,DEN,1959,36.0,2206,6.0,0.0,0.0,1452.0,,19,25.33693497798769,0.0111254673290576,132,0.7732574014120217,0,6.0
2026,3,7,2026-03-08,OO,ORD,LGA,1600,47.0,1921,28.0,0.0,0.0,733.0,0.0,16,26.77232131495573,0.0464670596882464,1468,0.7610112772501305,1,28.0
2026,3,7,2026-03-08,OH,CLT,SAV,2026,48.0,2144,25.0,0.0,0.0,213.0,0.0,20,24.089767116131743,0.0273846732583754,907,0.6783357245337159,1,25.0
2026,3,6,2026-03-21,AA,LGA,MIA,1822,49.0,2139,29.0,0.0,0.0,1096.0,0.0,18,27.205571380137023,0.0083510755960678,521,0.7349144302466906,1,29.0
2026,3,2,2026-03-10,UA,IAH,SAT,2012,3.0,2125,-8.0,0.0,0.0,191.0,,20,25.93073240038446,0.0167009919433928,641,0.7732574014120217,0,0.0
2026,3,7,2026-03-01,DL,JAX,MSP,1505,-6.0,1723,-18.0,0.0,0.0,1173.0,,15,32.10404816263094,0.0143704007284032,107,0.7800524074680641,0,0.0
2026,3,5,2026-03-06,DL,SEA,LAS,1235,3.0,1502,-4.0,0.0,0.0,867.0,,12,11.93816334929048,0.0251778223380107,397,0.7800524074680641,0,0.0
2026,3,7,2026-03-15,OH,GSP,CLT,500,172.0,615,169.0,0.0,0.0,75.0,0.0,5,12.649447948525063,0.0128874369717763,45,0.6783357245337159,1,169.0
2026,3,1,2026-03-02,MQ,BRO,DFW,1047,-6.0,1228,-18.0,0.0,0.0,482.0,,10,6.330560852421608,0.0124161531033629,23,0.7843735212156264,0,0.0
2026,3,3,2026-03-18,AA,PBI,PHL,700,5.0,944,-25.0,0.0,0.0,951.0,,7,6.622179561337522,0.0182623330045977,170,0.7349144302466906,0,0.0
2026,3,4,2026-03-12,WN,MDW,LGA,755,-3.0,1100,-3.0,0.0,0.0,725.0,,7,10.663357896706446,0.0152397680297061,419,0.7304990173266768,0,0.0
2026,3,7,2026-03-01,NK,IAH,DTW,2011,-11.0,2357,-16.0,0.0,0.0,1075.0,,20,25.93073240038446,0.0167009919433928,641,0.5522193211488251,0,0.0
2026,3,2,2026-03-17,WN,LAX,LAS,1910,-6.0,2025,2.0,0.0,0.0,236.0,,19,9.235572920384431,0.0049962271589589,537,0.7304990173266768,0,2.0
2026,3,3,2026-03-18,DL,PHL,ATL,1259,-3.0,1512,-4.0,0.0,0.0,666.0,,12,18.862332583578304,0.0107618687949153,269,0.7800524074680641,0,0.0
2026,3,2,2026-03-10,NK,MIA,DFW,2118,53.0,2350,33.0,0.0,0.0,1121.0,0.0,21,26.287093784032884,0.0228369680299186,653,0.5522193211488251,1,33.0
2026,3,2,2026-03-03,YX,JFK,CMH,959,-5.0,1159,36.0,0.0,0.0,483.0,0.0,9,9.549565693117124,0.0031942104930079,408,0.7248204667863555,1,36.0
2026,3,4,2026-03-05,DL,ATL,BOS,910,-1.0,1140,-1.0,0.0,0.0,946.0,,9,11.525458456540177,0.0187797472514038,1265,0.7800524074680641,0,0.0
2026,3,7,2026-03-15,WN,LAS,BUR,810,2.0,925,-16.0,0.0,0.0,223.0,,8,7.740652571590096,0.0038954650849508,492,0.7304990173266768,0,0.0
2026,3,4,2026-03-05,YX,PWM,LGA,1243,-6.0,1413,0.0,0.0,0.0,269.0,,12,12.954929960168204,0.0155199673047847,64,0.7248204667863555,0,0.0
2026,3,7,2026-03-01,OO,PHX,LAX,1815,-5.0,1855,-22.0,0.0,0.0,370.0,,18,18.451686273130736,0.0026545066137174,700,0.7610112772501305,0,0.0
2026,3,1,2026-03-09,MQ,CWA,ORD,1131,-6.0,1257,-13.0,0.0,0.0,213.0,,11,11.880352916353228,0.0360145313102031,20,0.7843735212156264,0,0.0
2026,3,7,2026-03-15,WN,RIC,BNA,1910,119.0,2005,104.0,0.0,0.0,527.0,0.0,19,25.833679683606785,0.0151578054009613,117,0.7304990173266768,1,104.0
2026,3,4,2026-03-19,B6,MCO,ISP,615,-10.0,855,-24.0,0.0,0.0,971.0,,6,2.938383807740258,0.0160892773476934,788,0.6798568174422388,0,0.0
2026,3,6,2026-03-07,DL,LGA,PBI,1110,25.0,1420,0.0,0.0,0.0,1035.0,,11,13.213462795881249,0.0083510755960678,501,0.7800524074680641,0,0.0
2026,3,4,2026-03-12,WN,SNA,SJC,800,-3.0,925,-20.0,0.0,0.0,342.0,,8,2.795498249562234,0.0065177485910317,199,0.7304990173266768,0,0.0
2026,3,4,2026-03-19,F9,FLL,PHL,2010,113.0,2259,99.0,0.0,0.0,993.0,0.0,20,40.25673320762313,0.0258627483916769,643,0.6862799583188607,1,99.0
2026,3,7,2026-03-08,NK,MCO,BNA,720,-8.0,829,14.0,0.0,0.0,616.0,,7,3.756057146070732,0.0160892773476934,717,0.5522193211488251,0,14.0
2026,3,1,2026-03-23,AA,PHL,CLT,1346,123.0,1540,107.0,0.0,0.0,449.0,0.0,13,14.55590005569943,0.0107618687949153,279,0.7349144302466906,1,107.0
2026,3,6,2026-03-07,WN,DAL,AMA,2155,45.0,2310,39.0,0.0,0.0,323.0,0.0,21,31.844409202844037,0.0170054847262891,210,0.7304990173266768,1,39.0
2026,3,5,2026-03-20,WN,SNA,SJC,1630,-5.0,1755,-14.0,0.0,0.0,342.0,,16,10.602798085500872,0.0065177485910317,128,0.7304990173266768,0,0.0
2026,3,2,2026-03-10,NK,BUR,LAS,1740,-7.0,1851,-15.0,0.0,0.0,223.0,,17,4.903137247379767,0.0070811807511481,112,0.5522193211488251,0,0.0
2026,3,1,2026-03-02,OO,DEN,HLN,1909,2.0,2116,-19.0,0.0,0.0,594.0,,19,24.886226789731733,0.0113774695473761,1903,0.7610112772501305,0,0.0
2026,3,2,2026-03-03,UA,IAH,BOS,1842,-5.0,2330,-17.0,0.0,0.0,1597.0,,18,28.07824857972703,0.0167009919433928,954,0.7732574014120217,0,0.0
2026,3,3,2026-03-18,WN,DSM,DEN,640,-7.0,735,-4.0,0.0,0.0,589.0,,6,7.572141166541291,0.0275336802972439,80,0.7304990173266768,0,0.0
2026,3,3,2026-03-11,WN,LBB,DEN,640,6.0,710,1.0,0.0,0.0,456.0,,6,5.3453988582757415,0.010485373273341,53,0.7304990173266768,0,1.0
2026,3,3,2026-03-18,UA,EWR,DFW,905,-2.0,1220,-33.0,0.0,0.0,1372.0,,9,8.513231760984786,0.007287665830444,563,0.7732574014120217,0,0.0
2026,3,4,2026-03-12,OO,ORD,ASE,715,-7.0,937,-3.0,0.0,0.0,1013.0,,7,8.53821505936986,0.0464670596882464,1608,0.7610112772501305,0,0.0
2026,3,3,2026-03-18,B6,SFO,BOS,1220,33.0,2058,10.0,0.0,0.0,2704.0,,12,8.493460367732697,0.002407597533299,406,0.6798568174422388,0,10.0
2026,3,1,2026-03-02,WN,BWI,SJU,825,5.0,1330,-11.0,0.0,0.0,1565.0,,8,6.141520606554641,0.0063075039327437,568,0.7304990173266768,0,0.0
2026,3,1,2026-03-23,G4,ROC,SRQ,1855,-11.0,2154,1.0,0.0,0.0,1118.0,,18,12.31800159800177,0.0118978031364071,53,0.7240966478014802,0,1.0
2026,3,2,2026-03-03,AA,CLT,MCO,1310,-6.0,1458,-26.0,0.0,0.0,468.0,,13,15.123756513693245,0.0273846732583754,612,0.7349144302466906,0,0.0
2026,3,5,2026-03-20,WN,HOU,BNA,1905,43.0,2055,49.0,0.0,0.0,670.0,0.0,19,30.935024799121265,0.0067029536559145,146,0.7304990173266768,1,49.0
2026,3,6,2026-03-14,F9,LAX,SFO,2001,-5.0,2138,-22.0,0.0,0.0,337.0,,20,11.44141408042889,0.0049962271589589,386,0.6862799583188607,0,0.0
2026,3,3,2026-03-11,G4,AZA,ATW,949,4.0,1505,6.0,0.0,0.0,1452.0,,9,8.292579166425561,0.0323968920186988,32,0.7240966478014802,0,6.0
2026,3,6,2026-03-21,MQ,CLT,ATL,1813,110.0,1935,115.0,0.0,0.0,226.0,0.0,18,22.28066267574954,0.0273846732583754,786,0.7843735212156264,1,115.0
2026,3,1,2026-03-09,MQ,TRI,DFW,530,-4.0,732,-38.0,0.0,0.0,868.0,,5,8.219383729860217,0.004107765483894,22,0.7843735212156264,0,0.0
2026,3,6,2026-03-14,WN,ORD,DEN,1820,72.0,2005,67.0,0.0,0.0,888.0,0.0,18,32.58431530292027,0.0464670596882464,1471,0.7304990173266768,1,67.0
2026,3,3,2026-03-11,AA,RDU,CLT,1124,-10.0,1234,-25.0,0.0,0.0,130.0,,11,12.6449966915885,0.0072616182980797,247,0.7349144302466906,0,0.0
2026,3,5,2026-03-20,AA,DFW,TUS,1922,-5.0,1956,-27.0,0.0,0.0,813.0,,19,27.50649796661081,0.0220364612284605,1398,0.7349144302466906,0,0.0
2026,3,3,2026-03-04,OO,DEN,RKS,1215,-10.0,1333,-26.0,0.0,0.0,260.0,,12,17.587501945432166,0.0113774695473761,811,0.7610112772501305,0,0.0
2026,3,6,2026-03-07,DL,ORD,ATL,645,124.0,958,125.0,0.0,0.0,606.0,0.0,6,8.953844252854767,0.0464670596882464,647,0.7800524074680641,1,125.0
2026,3,7,2026-03-22,AA,LAS,PHX,1222,40.0,1335,47.0,0.0,0.0,255.0,0.0,12,15.944070740724351,0.0038954650849508,745,0.7349144302466906,1,47.0
2026,3,4,2026-03-19,WN,MDW,DCA,1210,26.0,1455,18.0,0.0,0.0,601.0,0.0,12,25.373451204202688,0.0152397680297061,326,0.7304990173266768,1,18.0
2026,3,1,2026-03-23,OO,SLC,ABQ,2045,-4.0,2227,-21.0,0.0,0.0,493.0,,20,4.658827670165721,0.0059571853111149,548,0.7610112772501305,0,0.0
2026,3,1,2026-03-02,YX,EWR,DTW,846,-1.0,1059,1.0,0.0,0.0,488.0,,8,9.290728874106508,0.007287665830444,507,0.7248204667863555,0,1.0
2026,3,4,2026-03-12,DL,ATL,SAT,1103,2.0,1242,15.0,0.0,0.0,874.0,0.0,11,13.072770381429658,0.0187797472514038,1151,0.7800524074680641,0,15.0
2026,3,1,2026-03-09,YX,BOS,SAV,1223,-7.0,1509,-28.0,0.0,0.0,901.0,,12,15.174654014309956,0.0087717981779701,445,0.7248204667863555,0,0.0
2026,3,5,2026-03-13,DL,PIT,ATL,1935,-5.0,2139,-30.0,0.0,0.0,526.0,,19,27.383085455915705,0.024834390500066,192,0.7800524074680641,0,0.0
2026,3,7,2026-03-22,WN,FLL,DCA,1135,26.0,1415,8.0,0.0,0.0,899.0,,11,22.776938861558055,0.0258627483916769,387,0.7304990173266768,0,8.0
2026,3,5,2026-03-13,YX,SRQ,BOS,1522,42.0,1834,36.0,0.0,0.0,1220.0,0.0,15,27.844744765736603,0.0211655396172534,101,0.7248204667863555,1,36.0
2026,3,4,2026-03-12,WN,MKE,MDW,550,30.0,650,12.0,0.0,0.0,80.0,,5,9.74421294220184,0.032016161102827,159,0.7304990173266768,0,12.0
2026,3,2,2026-03-17,WN,LIH,HNL,1545,-5.0,1625,-13.0,0.0,0.0,102.0,,15,21.969718659284013,0.0398969245943425,72,0.7304990173266768,0,0.0
2026,3,4,2026-03-19,DL,LAX,DTW,1221,-3.0,1942,-9.0,0.0,0.0,1979.0,,12,13.456147112342991,0.0049962271589589,511,0.7800524074680641,0,0.0
2026,3,4,2026-03-05,WN,STL,DEN,1430,6.0,1555,-11.0,0.0,0.0,770.0,,14,15.607017828063167,0.0090734132311073,267,0.7304990173266768,0,0.0
2026,3,1,2026-03-02,F9,SAT,DEN,2022,-14.0,2147,-29.0,0.0,0.0,794.0,,20,26.57046103586661,0.0101201855172377,54,0.6862799583188607,0,0.0
2026,3,7,2026-03-01,DL,SFO,SLC,1340,3.0,1639,-17.0,0.0,0.0,599.0,,13,10.877863143810684,0.002407597533299,666,0.7800524074680641,0,0.0
2026,3,6,2026-03-21,WN,OGG,SAN,2055,47.0,510,70.0,0.0,0.0,2540.0,0.0,20,9.08556371514718,0.0566508862178915,76,0.7304990173266768,1,70.0
2026,3,5,2026-03-06,AA,BOI,DFW,1339,30.0,1753,41.0,0.0,0.0,1272.0,30.0,13,13.879439770656768,0.0074956672406894,169,0.7349144302466906,1,41.0
2026,3,2,2026-03-10,UA,IAD,ATL,820,-10.0,1021,-30.0,0.0,0.0,534.0,,8,4.195872765413525,0.0111254673290576,655,0.7732574014120217,0,0.0
2026,3,6,2026-03-21,NK,AUS,EWR,550,14.0,1024,18.0,0.0,0.0,1504.0,0.0,5,3.167845562396685,0.0114657698816389,303,0.5522193211488251,1,18.0
2026,3,4,2026-03-05,OO,DEN,SAF,1905,84.0,2030,72.0,0.0,0.0,303.0,0.0,19,24.886226789731733,0.0113774695473761,1903,0.7610112772501305,1,72.0
2026,3,6,2026-03-21,UA,IAH,SAT,730,-8.0,838,-23.0,0.0,0.0,191.0,,7,6.855121914703727,0.0167009919433928,793,0.7732574014120217,0,0.0
2026,3,2,2026-03-03,OO,DTW,BUF,1018,-14.0,1143,-21.0,0.0,0.0,241.0,,10,18.77805123455189,0.0327077649027014,763,0.7610112772501305,0,0.0
2026,3,1,2026-03-16,DL,SJU,JFK,700,10.0,1111,-14.0,0.0,0.0,1598.0,,7,4.021834801316731,0.0025527151912895,173,0.7800524074680641,0,0.0
2026,3,5,2026-03-13,WN,SAT,PHX,2125,-2.0,2200,-22.0,0.0,0.0,843.0,,21,20.397183585668625,0.0101201855172377,46,0.7304990173266768,0,0.0
2026,3,3,2026-03-18,WN,DAL,TUS,1725,55.0,1755,23.0,0.0,0.0,824.0,0.0,17,31.02404705551377,0.0170054847262891,280,0.7304990173266768,1,23.0
2026,3,1,2026-03-23,AA,BNA,CLT,715,-9.0,947,-23.0,0.0,0.0,328.0,,7,8.834337716813122,0.0084564349232009,691,0.7349144302466906,0,0.0
2026,3,2,2026-03-10,YX,LGA,MEM,1755,-1.0,2002,-11.0,0.0,0.0,963.0,,17,24.939988531489533,0.0083510755960678,493,0.7248204667863555,0,0.0
2026,3,6,2026-03-21,F9,CVG,ATL,1936,-6.0,2125,90.0,0.0,0.0,373.0,0.0,19,23.34849535081121,0.0182373166976325,170,0.6862799583188607,1,90.0
2026,3,2,2026-03-10,OO,SEA,GEG,1951,36.0,2105,24.0,0.0,0.0,224.0,24.0,19,11.899361120288294,0.0251778223380107,584,0.7610112772501305,1,24.0
2026,3,1,2026-03-09,YX,GSP,LGA,1255,42.0,1452,31.0,0.0,0.0,610.0,0.0,12,12.893954743493302,0.0128874369717763,110,0.7248204667863555,1,31.0
2026,3,1,2026-03-23,OO,SFO,PSP,700,-10.0,846,-31.0,0.0,0.0,421.0,,7,0.7881920748043452,0.002407597533299,470,0.7610112772501305,0,0.0
2026,3,7,2026-03-01,DL,MCO,JFK,735,-1.0,1010,-11.0,0.0,0.0,944.0,,7,3.756057146070732,0.0160892773476934,717,0.7800524074680641,0,0.0
2026,3,6,2026-03-07,UA,DEN,MKE,1755,-1.0,2121,5.0,0.0,0.0,896.0,,17,20.40461111430042,0.0113774695473761,1718,0.7732574014120217,0,5.0
2026,3,4,2026-03-05,AS,SAN,SEA,1545,1.0,1855,-6.0,0.0,0.0,1050.0,,15,15.187024013769614,0.0087350819056684,318,0.7694889779559119,0,0.0
2026,3,1,2026-03-09,F9,ATL,TPA,2250,-8.0,26,59.0,0.0,0.0,406.0,0.0,22,21.30522194676817,0.0187797472514038,1170,0.6862799583188607,1,59.0
2026,3,4,2026-03-19,DL,FSD,MSP,800,-6.0,911,-9.0,0.0,0.0,196.0,,8,6.645549370832626,0.0354879716241526,33,0.7800524074680641,0,0.0
2026,3,4,2026-03-19,B6,SJU,BOS,1820,79.0,2234,80.0,0.0,0.0,1674.0,0.0,18,31.179967132145972,0.0025527151912895,159,0.6798568174422388,1,80.0
2026,3,5,2026-03-13,G4,LAS,BLI,2042,-11.0,2330,-1.0,0.0,0.0,954.0,,20,16.75690228754658,0.0038954650849508,337,0.7240966478014802,0,0.0
2026,3,1,2026-03-23,OO,MSP,MKE,1950,-6.0,2116,-14.0,0.0,0.0,297.0,,19,20.7126295253448,0.0219714201867215,282,0.7610112772501305,0,0.0
2026,3,5,2026-03-20,AA,DFW,LAS,1456,110.0,1601,88.0,0.0,0.0,1055.0,0.0,14,22.47818874232944,0.0220364612284605,1231,0.7349144302466906,1,88.0
2026,3,3,2026-03-18,AA,DFW,KOA,1102,0.0,1422,-37.0,0.0,0.0,3724.0,,11,16.816718809510032,0.0220364612284605,890,0.7349144302466906,0,0.0
2026,3,6,2026-03-21,F9,SNA,PHX,950,-11.0,1115,-15.0,0.0,0.0,338.0,,9,1.3456339814118286,0.0065177485910317,160,0.6862799583188607,0,0.0
2026,3,5,2026-03-20,UA,IAH,OMA,1635,-6.0,1854,-4.0,0.0,0.0,781.0,,16,21.723593142978228,0.0167009919433928,663,0.7732574014120217,0,0.0
2026,3,7,2026-03-08,MQ,ORD,COU,1630,24.0,1800,23.0,0.0,0.0,315.0,0.0,16,26.77232131495573,0.0464670596882464,1468,0.7843735212156264,1,23.0
2026,3,4,2026-03-12,WN,AUS,PNS,1335,0.0,1520,18.0,0.0,0.0,626.0,0.0,13,19.854849670750934,0.0114657698816389,385,0.7304990173266768,1,18.0
